District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
Texas 20th,TX-20,Democratic,Joaquin,Castro,"(wah-KEEN KAH-stro) [R is trilled, O unrounded]",/wɑ.'kin 'kɑ.stro/,2012,1974,Man,Hispanic - Mexican,Roman Catholic,No,Re-elected,79.7,0,75.7,0,,,,,58.9,39.7,D+,8,58.9,41.1,D+,5,26.6,4.6,64.7,2.8,0.2,1.1,23.3,317,40.6,124,"$49,404.00",292,100,0,100,0,65.6,34.4,381,,,,,87964,66554,0,21410,119032,62376,,,,187835,110663,74540,196246,115579,80667,,7.8,5.2,690154,160686,30256,471362,17201,1408,9241,503169,133794,23311,325369,13904,1162,5629
Texas 21st,TX-21,Republican,Lamar,Smith,(luh-MAR SMITH),/'lə.mɑɹ smɪθ/,1986,1947,Man,White - Non-Hispanic,Christian Scientist,No,Re-elected,36.4,57,0,71.8,,,,,37.9,59.8,R+,13,42.8,57.2,R+,11,66.8,3.3,25,3.3,0.3,1.3,44.6,42,48.6,62,"$65,254.00",114,39,61,0,100,36.9,63.1,382,,,,,188996,0,135660,53336,109326,187015,,,,314591,119220,188241,312112,133581,178531,,-13.2,-10.9,681608,431913,23008,191587,21680,2061,11359,539982,360906,17714,134775,17610,1734,7243
Texas 22nd,TX-22,Republican,Pete,Olson,(PEET OHL-suhn),/pit 'oʊl.sən/,2008,1962,Man,White - Non-Hispanic,United Methodist,No,Re-elected,40.5,59.5,31.6,66.5,,,,,36.7,62.1,R+,15,39.1,60.9,R+,15,48.2,11.9,22.1,16.1,0.2,1.4,44.7,40,47,75,"$95,048.00",15,40.5,59.5,32.2,67.8,33.3,66.7,383,,,,,151566,47844,100861,2861,80203,160668,,,,255043,93582,158452,233210,91137,142073,,-14.8,-14.6,697318,315103,85562,170341,110977,1627,13708,494113,238141,58990,109325,79484,1128,7045
Texas 23rd,TX-23,Republican,Will,Hurd,(WILL HURD),/wɪl hɜɹd/,2014,1977,Man,Black - African-American,Christian,No,Re-elected,47,48.3,47.7,49.8,,,,,48.1,50.7,R+,3,50.3,49.7,R+,3,28.5,3,66.2,1.3,0.3,0.6,21.1,352,40,130,"$53,917.00",221,49.3,50.7,48.9,51.1,52.5,47.5,384,,,,,115429,55037,57459,2933,96676,87547,,,,196410,94420,99666,192550,96871,95679,,-3.3,-3.4,708786,178386,19772,494151,8277,2448,5752,495646,141227,15098,328070,6327,1703,3221
Texas 24th,TX-24,Republican,Kenny,Marchant,(KEN-ee MAR-tchunt),/'kɛ.ni 'mɑɹ.tʃənt/,2004,1951,Man,White - Non-Hispanic,Nazarene Christian,No,Re-elected,39.3,56.2,32.3,65,,,,,38,60.4,R+,13,41,59,R+,13,57.3,9.6,20.4,10.7,0.4,1.5,44.7,40,49.7,58,"$68,161.00",93,41.2,58.8,33.2,66.8,37.1,62.9,385,,,,,144073,46548,93712,3813,87645,148586,,,,249080,94634,150547,258275,105822,152453,,-13.4,-12.7,692820,369026,67928,163450,75547,2548,14321,523431,300066,50162,106984,56185,1959,8075
Texas 25th,TX-25,Republican,Roger,Williams,(RAH-jer WEE-yuhmz),/'ɹɑ.dʒəɹ 'wi.jəmz/,2012,1949,Man,White - Non-Hispanic,Christian,No,Re-elected,37.7,58.3,36.2,60.2,,,,,37.8,59.9,R+,13,43.3,56.7,R+,10,72.8,6.9,15.4,3,0.4,1.4,37,98,40.3,127,"$65,706.00",110,39.3,60.7,37.6,62.4,39.1,60.9,386,,,,,177883,64463,107120,6300,98827,154245,,,,270807,102433,162279,271400,117402,153998,,-13.3,-10.4,720956,501121,51446,130598,20534,2860,14397,536383,390735,37261,82717,15929,2165,7576
Texas 26th,TX-26,Republican,Michael,Burgess,(MY-kuhl BER-jess),/'maɪ.kəl 'bɜɹ.dʒɛs/,2002,1950,Man,White - Non-Hispanic,Anglican,No,Re-elected,29.6,66.4,0,82.7,,,,,30.7,67.6,R+,21,35.2,64.8,R+,18,71.5,6.7,14.8,5,0.5,1.5,41.6,62,44.5,89,"$79,738.00",45,30.9,69.1,0,100,29.6,70.4,387,,,,,141470,0,116944,24526,74237,176642,,,,263196,80828,177941,257668,90791,166877,,-20.7,-18.5,697278,477663,47134,119418,35223,3420,14420,496578,355054,33163,73639,25067,2448,7207
Texas 27th,TX-27,Republican,Blake,Farenthold,(BLAYK FAIR-en-thawld),/bleɪk 'fɛ.ɹɛn.θɔld/,2010,1961,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,38.3,61.7,33.7,63.6,,,,,38.2,60.5,R+,13,40.5,59.5,R+,13,47.3,5.1,45.1,1.5,0.3,0.8,19.3,388,28.5,289,"$50,764.00",266,38.3,61.7,34.6,65.4,40.9,59.1,388,,,,,131047,44152,83342,3553,83395,120684,,,,217772,83158,131821,224922,91083,133839,,-13.3,-13.2,704891,301421,36021,348745,9886,1862,6956,520958,246166,26768,234901,7608,1493,4022
Texas 28th,TX-28,Democratic,Henry,Cuellar,(HEN-ree KWAY-ahr) [Second R is trilled],/'hɛn.ɹi 'kweɪ.ɑr/,2004,1955,Man,Hispanic - Mexican,Roman Catholic,No,Re-elected,66.2,31.3,82.1,0,,,,,60.3,38.7,D+,9,58.7,41.3,D+,5,21.1,4.1,72.9,1.1,0.2,0.6,18.4,398,27.3,306,"$45,054.00",354,67.9,32.1,100,0,69.5,30.5,389,,,,,76136,62508,0,13628,112456,49309,,,,168874,101843,65372,157623,92557,65066,,8.9,5,703920,125348,27911,537837,6738,979,5107,477030,100833,19779,347567,5241,781,2829
Texas 29th,TX-29,Democratic,Gene,Green,(JEEN GREEN),/dʒin gɹin/,1992,1947,Man,White - Non-Hispanic,Methodist,No,Re-elected,72.5,24,89.5,0,,,,,65.9,33,D+,15,62.7,37.3,D+,9,14.7,10,72.8,1.8,0.2,0.5,9.1,434,18.3,422,"$40,871.00",399,75.1,24.9,100,0,100,0,390,,,,,46143,41321,0,4822,86053,0,,,,114901,75720,37909,112129,70286,41843,,14.7,9,696907,81252,67088,532612,10863,946,4146,470400,69200,46888,342595,8519,722,2476
Texas 30th,TX-30,Democratic,Eddie Bernice,Johnson,(EH-dee ber-NEES JAHN-suhn),/'ɛ.di bəɹ.'nis 'dʒɑn.sən/,1992,1935,Woman,Black - African-American,Baptist,No,Re-elected,81.6,15.1,87.9,0,,,,,79.6,19.6,D+,28,78.8,21.2,D+,25,21.3,44.7,30.8,2,0.3,0.9,20,372,40.9,120,"$42,439.00",380,84.4,15.6,100,0,80.6,19.4,391,,,,,105793,93041,0,12752,171059,41222,,,,220565,175637,43333,222381,175237,47144,,28.2,25.1,707252,122052,312089,250571,12519,1874,8147,501433,106974,224226,154296,9805,1481,4651
Texas 31st,TX-31,Republican,John,Carter,(JAHN CAR-ter),/dʒɑn 'kɑɹ.ɾəɹ/,2002,1941,Man,White - Non-Hispanic,Lutheran,No,Re-elected,36.5,58.4,32,64,,,,,38.3,59.6,R+,13,43.3,56.7,R+,10,63.6,10.5,19.5,4.3,0.4,1.7,35.2,116,39.9,131,"$65,377.00",113,38.5,61.5,33.3,66.7,36.3,63.7,392,,,,,143028,45715,91607,5706,82977,145348,,,,242714,92842,144634,238960,103359,135601,,-12.9,-10.4,697292,415111,75808,157062,29353,2626,17332,500711,318431,52498,97882,21508,2021,8371
Texas 32nd,TX-32,Republican,Pete,Sessions,(PEET SEH-shuhnz),/pit 'sɛ.ʃənz/,2002,1955,Man,White - Non-Hispanic,Methodist,No,Re-elected,0,71.1,35.4,61.8,,,,,41.5,57,R+,10,44.3,55.7,R+,9,57.7,11.4,21.9,7.3,0.3,1.3,43,52,54.2,36,"$66,375.00",102,0,100,36.4,63.6,40.4,59.6,393,,,,,156096,55325,96495,4276,99288,146653,,,,256873,106563,146420,264457,117231,147226,,-9.8,-9.4,703008,372416,85748,180602,50022,2393,11827,527032,304242,60015,115579,38575,1841,6780
Texas 33rd,TX-33,Democratic,Marc,Veasey,(MARK VEE-see),/mɑɹk 'vi.si/,2012,1971,Man,Black - African-American,Christian,No,Re-elected,73.7,26.3,86.5,0,,,,,72,27.1,D+,21,69.1,30.9,D+,15,19.9,16.9,59.7,2.4,0.3,0.8,10.4,432,22.4,388,"$39,246.00",409,73.7,26.3,100,0,73.8,26.2,394,,,,,50592,43769,0,6823,85114,30252,,,,120480,86686,32641,130470,90180,40290,,20.7,15.4,703224,110752,111975,456788,15121,1933,6655,475960,94662,80378,284093,11539,1504,3784
Texas 34th,TX-34,Democratic,Filemon,Vela,(FEE-lay-muhn VEH-luh),/'fi.le.mən 'vɛ.lə/,2012,1963,Man,Hispanic - Mexican,Roman Catholic,No,Re-elected,62.7,37.3,59.5,38.6,,,,,60.8,38.3,D+,9,60.6,39.4,D+,7,18.2,1.4,79.3,0.7,0.1,0.3,14.6,424,26.1,324,"$35,642.00",423,62.7,37.3,60.7,39.3,63.1,36.9,395,,,,,79877,47503,30811,1563,89606,52448,,,,149511,90885,57303,148885,90178,58707,,9.4,6.9,694345,103425,7818,576009,4230,780,2083,476984,86991,6624,378169,3310,596,1294
Texas 35th,TX-35,Democratic,Lloyd,Doggett,(LOYD DAW-guht),/lɔɪd 'dɔ.gət/,1994,1946,Man,White - Non-Hispanic,Methodist,No,Re-elected,63.1,31.6,62.5,33.3,,,,,63,34.6,D+,13,64,36,D+,10,29.8,9.6,57.7,1.6,0.3,1.1,18.9,395,34.5,189,"$43,831.00",365,66.6,33.4,65.2,34.8,66.6,33.4,396,,,,,96225,60124,32040,4061,105626,52894,,,,167467,105545,57989,174554,111790,62764,,12.6,10.4,681404,174918,63659,423076,9492,1692,8567,490339,146243,46859,282682,8013,1337,5205
Texas 36th,TX-36,Republican,Brian,Babin,(BRAHY-uhn BAB-in),/'bɹa.ən 'bæ.bɪn/,2014,1948,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,88.6,22.1,76,,,,,25.7,73.2,R+,26,29.8,70.2,R+,24,69.2,9,18.3,2.2,0.5,0.9,18.2,401,20.1,411,"$56,885.00",186,0,100,22.5,77.5,27.3,72.7,397,,,,,133842,29543,101663,2636,62143,165405,,,,240433,61786,175883,236442,70543,165899,,-26,-23.9,700735,459185,63876,151047,14623,3111,8893,518256,358575,46424,94967,11167,2362,4761
Utah 1st,UT-01,Republican,Rob,Bishop,(RAHB BIH-shoop) [OO as in good],/ɹɑb 'bɪ.ʃʊp/,2002,1951,Man,White - Non-Hispanic,Mormon,No,Re-elected,26.4,65.9,27.9,64.6,22.4,49.7,R+,20,20.4,77.4,R+,31,30.3,69.7,R+,23,84.8,1,10.2,1.9,0.9,1.2,28.7,219,31.6,234,"$63,334.00",125,28.6,71.4,30.2,69.8,25.7,74.3,398,,,,,130341,36422,84231,9688,60611,175487,280442,62733,139503,250278,51098,193672,230027,69594,160433,-20.1,-31.1,-23.4,692099,573688,6533,81381,11728,6139,12630,467487,396442,4458,47836,8900,4257,5594
Utah 2nd,UT-02,Republican,Chris,Stewart,(KRISS STOO-ert),/kɹɪs 'stu.əɹt/,2012,1960,Man,White - Non-Hispanic,Mormon,No,Re-elected,33.9,61.6,32.9,61.4,32,46,R+,10,29.2,68,R+,22,39.6,60.4,R+,14,80.9,1,12.5,3.5,0.9,1.2,31.2,164,34,194,"$55,339.00",205,35.5,64.5,34.9,65.1,35,65,399,,,,,144695,47585,88915,8195,83176,154523,283699,90686,130525,255201,74556,173513,237454,94123,143331,-10.1,-21.9,-14,687939,537386,7660,100891,23309,6109,12584,484976,392132,4859,60768,17011,4269,5937
Utah 3rd,UT-03,Republican,Jason,Chaffetz,(JAY-suhn CHAY-fits),/'dʒeɪ.sən 'tʃeɪ.fɪts/,2008,1967,Man,White - Non-Hispanic,Mormon,No,Re-elected,26.5,73.5,22.5,72.2,23.3,47.2,R+,18,19.5,78.3,R+,32,30.4,69.6,R+,23,85.7,0.5,8.6,2.5,1.5,1.3,39.6,81,41.9,109,"$66,007.00",109,26.5,73.5,23.7,76.3,23.4,76.6,400,,,,,142580,32059,102952,7569,60719,198828,289923,67461,136782,265856,51791,208121,241983,73625,168358,-18.1,-32,-23.3,694412,583303,3748,67323,15969,10614,13455,474644,406992,2238,40634,11672,6991,6117
Utah 4th,UT-04,Republican,Mia,Love,(MEE-uh LUHV),/'mi.ə lʌv/,2014,1975,Woman,Black - Haitian,Mormon,No,Re-elected,41.3,53.8,45.8,50.9,32.4,39.1,R+,6,30.2,67.2,R+,21,42.2,57.8,R+,12,79,1,14,4.1,0.6,1.3,28.6,221,31.2,240,"$67,632.00",94,43.5,56.5,47.4,52.6,50.2,49.8,401,,,,,147168,67425,74936,4807,119803,119035,277311,89796,108421,246066,74368,165294,214237,90328,123909,-5.8,-20.9,-11.5,689428,527335,8010,108745,27079,4219,14040,465748,367999,4852,65256,18894,2921,5826
Vermont At-Large,VT-00,Democratic,Peter,Welch,(PEE-ter WELCH),/'pi.ɾəɹ wɛltʃ/,2006,1947,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,89.5,0,64.4,31,56.7,30.3,D+,14,67,31.2,D+,16,68.9,31.1,D+,15,95.2,0.8,1.3,1.2,0.3,1.2,36.9,100,37.1,157,"$56,990.00",185,100,0,67.5,32.5,75.6,24.4,402,,,,,191504,123349,59432,8723,209312,67543,315067,178573,95369,297247,199239,92698,318236,219262,98974,14.1,16.3,15.2,625741,590223,5943,9208,8015,2023,10329,496508,472559,3840,6328,5993,1619,6169
Virginia 1st,VA-01,Republican,Rob,Wittman,(RAHB WITT-min),/ɹɑb 'wiθ.mɪn/,2007 Special,1959,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,36.6,59.9,Redrawn,,41.2,53.6,R+,8,44,56,R+,8,45.3,54.7,R+,8,72.6,15.9,6.7,2.8,0.4,1.6,,,,,,,37.9,62.1,Redrawn,,Redrawn,,403,,,,,,,,,,,395289,162931,211991,,162594,207064,348213,157681,190532,-7.7,-8,-8.4,729738,512126,117020,57806,20683,2700,19403,543207,394220,86289,36587,15419,2083,8609
Virginia 2nd,VA-02,Republican,Scott,Taylor,(SKAHT TAY-lor),/skɑt 'teɪ.ləɹ/,2016,1979,Man,White - Non-Hispanic,Christian,No,Open - Retired,38.5,61.3,Redrawn,,45.4,48.8,R+,3,48.8,51.2,R+,3,49.4,50.6,R+,4,67.5,19,5.8,5.2,0.3,2.1,,,,,,,38.5,61.5,Redrawn,,Redrawn,,404,,,,,,,,,,,321068,145762,156694,,154555,161834,322953,159604,163349,-2.9,-3.1,-4.3,726772,471381,143930,48835,36696,2455,23475,561599,379294,106772,32593,29363,1963,11614
Virginia 3rd,VA-03,Democratic,Bobby,Scott,(BAH-bee SKAHT),/'bɑ.bi skɑt/,1992,1947,Man,Black - African-American,Episcopalian,No,Re-elected,66.7,33.1,Redrawn,,63.6,31.9,D+,16,68.3,31.7,D+,16,67.2,32.8,D+,14,46.6,44.3,4.3,2.6,0.4,1.9,,,,,,,66.9,33.1,Redrawn,,Redrawn,,405,,,,,,,,,,,323422,205746,103064,,227877,105722,334963,225226,109737,15.5,16.3,13.6,725881,314335,334899,35829,17338,2475,21005,551449,256762,244068,23818,14136,1965,10700
Virginia 4th,VA-04,Democratic,Donald,McEachin,(DAH-nuhld mik-EE-chin),/'dɑ.nəld mᵻ.'ki.tʃᵻn,2016,1961,Man,Black - African-American,Baptist,No,Open - Lost Primary/Redistricted,57.7,42,Redrawn,,58.7,37.1,D+,10,61.1,38.9,D+,9,61.1,38.9,D+,7,52,40.3,3.9,2,0.4,1.4,,,,,,,57.9,42.1,Redrawn,,Redrawn,,406,,,,,,,,,,,362532,212677,134676,,216462,138038,342867,209561,133306,10.1,9.1,7.4,726856,361079,302297,32388,13498,2767,14827,563650,293118,227121,21895,11285,2235,7996
Virginia 5th,VA-05,Republican,Tom,Garrett,(TAHM GAIR-it),/tɑm 'gɛ.ɹɪt/,2016,1972,Man,White - Non-Hispanic,Christian,No,Open - Retired,41.6,58.2,35.9,60.9,42.3,53.4,R+,7,46.6,53.4,R+,5,48.4,51.6,R+,5,74.6,20,2.6,1.6,0.2,1,26.5,253,30.3,252,"$50,612.00",270,41.7,58.3,37.1,62.9,43.6,56.4,407,,,,,204945,73482,124735,6728,149214,193009,365403,154665,195190,,164555,188485,346823,167909,178914,-6.9,-5.4,-5.3,727430,531419,148300,22992,11196,1543,11980,574403,428547,114688,15096,9149,1232,5691
Virginia 6th,VA-06,Republican,Bob,Goodlatte,(BAHB GOOD-latt),/bɑb 'gʊd.læt/,1992,1952,Man,White - Non-Hispanic,Christian Scientist,No,Re-elected,33.1,66.6,0,74.5,34.9,59.7,R+,14,40.1,59.9,R+,12,42.4,57.6,R+,11,83.7,10.2,3.5,1.4,0.2,1,26.2,258,27.6,302,"$49,220.00",296,33.2,66.8,0,100,34.6,65.4,408,,,,,179708,0,133898,45810,111949,211278,345500,120596,206303,,132153,197045,324531,137671,186860,-14.2,-11.8,-11.3,727451,593604,78117,31032,10464,1695,12539,572758,479361,58202,19903,8007,1372,5913
Virginia 7th,VA-07,Republican,Dave,Brat,(DAVE BRATT),/deɪv bɹæt/,2014 Special,1964,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,42.2,57.5,Redrawn,,44,50.5,R+,5,44.7,55.3,R+,7,46,54,R+,8,71.6,17.5,5.3,4.1,0.2,1.3,,,,,,,42.3,57.7,Redrawn,,Redrawn,,409,,,,,,,,,,,392168,172544,198032,,166624,206495,356997,164397,192600,-4.6,-7.3,-7.6,726234,504560,128464,44586,30782,1757,16085,544939,390024,95203,28755,22542,1325,7090
Virginia 8th,VA-08,Democratic,Don,Beyer,(DAHN BAHY-er) [Rhymes with Buyer],/dɑn 'baɪ.əɹ/,2014,1950,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,68.4,27.3,63.1,31.4,73.5,20.9,D+,27,68.6,31.4,D+,17,69.1,30.9,D+,15,56.4,13,17,11.1,0.2,2.2,59.6,5,75.8,2,"$100,644.00",8,71.5,28.5,66.8,33.2,67.9,32.1,410,,,,,203076,128102,63810,11164,226847,107370,367885,270415,76854,,243746,111518,340888,235673,105215,26.8,16.6,15.4,725805,388871,98510,135375,79777,1464,21808,578936,326656,75513,98658,64213,1164,12732
Virginia 9th,VA-09,Republican,Morgan,Griffith,(MORE-guhn GRIFF-uth),/'mɔɹ.gən 'gɹɪ.fəθ/,2010,1958,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,28.3,68.6,0,72.1,27.3,68.8,R+,23,35.6,64.4,R+,16,40.8,59.2,R+,13,91.3,5,1.6,1.2,0.2,0.8,20.7,359,20.5,406,"$42,174.00",386,29.2,70.8,0,100,38.6,61.4,411,,,,,162815,0,117465,45350,116400,184882,316740,86463,217837,,108641,196354,302423,123420,179003,-22.7,-16.3,-12.9,727353,659263,36335,13904,8287,1185,8379,584866,534081,28990,9226,6991,975,4603
Virginia 10th,VA-10,Republican,Barbara,Comstock,(BAR-bruh KAHM-stahk),/'bɑɹ.bɹə 'kɑm.stɑk/,2014,1959,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,46.9,52.7,40.4,56.5,52.2,42.2,D+,4,49.4,50.6,R+,3,51.4,48.6,R+,2,68.9,6.6,10.6,11.9,0.2,1.8,54.7,12,57,28,"$114,793.00",2,47.1,52.9,41.7,58.3,39.9,60.1,412,,,,,222910,89957,125914,7039,142024,214038,403821,210692,170580,,182432,186650,336532,173045,163487,4.1,-2.5,-2.3,729821,485656,47803,85608,87651,1255,21848,522584,360025,34658,55486,61937,876,9602
Virginia 11th,VA-11,Democratic,Gerry,Connolly,(JAIR-ee KAH-nuh-lee),/'dʒɛ.ɹi 'kɑ.nə.li/,2008,1950,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,87.9,0,56.9,40.4,66.9,27.5,D+,20,63.2,36.8,D+,11,62.7,37.3,D+,9,53.1,11.6,15.5,17.3,0.2,2.4,54.7,12,65.5,11,"$105,031.00",4,100,0,58.5,41.5,63.2,36.8,413,,,,,187805,106780,75796,5229,202606,117902,357054,238982,98222,,212181,123317,327347,205345,122002,19.8,11.3,9,727683,364156,88029,123470,124987,1383,25658,548956,291297,63511,84840,95056,983,13269
Washington 1st,WA-01,Democratic,Suzan,DelBene,(SOO-zin del-BEN-ay),/'su.zɪn dɛl.'bɛ.neɪ/,2012 Special,1963,Woman,White - Non-Hispanic,Episcopalian,No,Re-elected,55.4,44.6,55,45,54.1,37.8,D+,8,54.1,43.3,D+,4,57.3,42.7,D+,4,80.4,1.1,6.7,8.4,1,2.3,43.1,51,42.1,106,"$86,349.00",27,55.4,44.6,55,45,53.9,46.1,414,,,,,225579,124151,101428,0,177025,151187,349064,188952,132109,339489,183802,147074,324214,185907,138307,7.7,3.6,3.7,674432,523434,7624,56464,56676,7369,22865,507779,408332,5685,34031,42869,5278,11584
Washington 2nd,WA-02,Democratic,Rick,Larsen,(RICK LAR-suhn),/ɹɪk 'lɑɹ.sən/,2000,1965,Man,White - Non-Hispanic,Methodist,No,Re-elected,64,36,60.6,39.4,56.9,34.8,D+,11,59.2,38,D+,9,61.7,38.3,D+,8,78.3,2.3,7.5,8,1.3,2.6,31,166,31.8,229,"$65,000.00",117,64,36,60.6,39.4,61.1,38.9,415,,,,,201691,122173,79518,0,184826,117465,326462,185821,113670,313668,185771,119266,300116,185116,115000,10.9,8.9,8,670285,501575,16182,63509,53872,9426,25721,521526,408326,11768,38939,41941,6875,13677
Washington 3rd,WA-03,Republican,Jaime,Herrera Beutler,(JAY-mee huh-RAIR-uh BUT-ler),/'dʒeɪ.mi hə.'ɹɛ.ɹə 'bət.ləɹ/,2010,1978,Woman,Hispanic,Christian,No,Re-elected,38.2,61.8,38.5,61.5,42.5,49.9,R+,5,47.9,49.6,R+,3,52,48,R+,2,86.2,1.3,5.9,3.4,1,2.2,24.3,294,25.2,340,"$57,331.00",181,38.2,61.8,38.5,61.5,39.6,60.4,416,,,,,202814,78018,124796,0,116438,177446,315150,134009,157359,303483,145442,150409,291186,151296,139890,-5.1,-2.8,-1.7,672909,560073,9267,52314,23188,6514,21553,503246,433951,6394,29762,17218,4852,11069
Washington 4th,WA-04,Republican,Dan,Newhouse,(DAN NOO-hows),/dæn 'nu.haʊs/,2014,1955,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,0,100,0,100,35.1,57.9,R+,13,37.9,59.7,R+,13,39.9,60.1,R+,14,64.1,0.9,29.5,1.6,2.3,1.5,20.6,362,27.1,309,"$52,351.00",238,0,100,0,100,33.8,66.2,417,,,,,153079,0,153079,0,78940,154749,242668,85083,140560,238940,90612,142741,225214,89933,135281,-13.4,-13.1,-13.8,674022,385893,6091,243016,10191,16159,12672,474350,304104,4438,139935,7807,11052,7014
Washington 5th,WA-05,Republican,Cathy,McMorris Rodgers,(KATH-ee mick-MORE-iss RAH-jerz),/'kæ.θi mɪk.'mɔ.ɹɪs 'ɹɑ.dʒəɹz/,2004,1969,Woman,White - Non-Hispanic,Christian,No,Re-elected,40.4,59.6,39.3,60.7,39.1,52.2,R+,8,43.7,53.5,R+,7,47.5,52.5,R+,6,87.9,1.4,4.4,2.5,1.6,2.2,28.2,227,28.8,282,"$47,053.00",329,40.4,59.6,39.3,60.7,38.1,61.9,418,,,,,223242,87772,135470,0,117512,191066,319635,125112,166765,315425,137771,168671,303623,144112,159511,-8.2,-7,-6.2,672569,576435,9749,37109,16753,11606,20917,521176,457869,7340,22970,13249,8282,11466
Washington 6th,WA-06,Democratic,Derek,Kilmer,(DARE-ick KILL-mer),/'dɛ.ɹɪk 'kɪl.məɹ/,2012,1974,Man,White - Non-Hispanic,Methodist,No,Re-elected,61.5,38.5,63,37,51.8,39.5,D+,6,56.1,41.2,D+,6,58.2,41.8,D+,5,81.9,3.5,5.1,4.3,2,3.2,28.8,215,30,256,"$58,410.00",172,61.5,38.5,63,37,59,41,419,,,,,224290,141265,83025,0,186661,129725,332992,172596,131449,329190,184820,135573,320025,186336,133689,5.7,5.7,4.5,671684,529097,24025,44157,28866,14196,31343,529928,434034,18496,27150,23028,10410,16810
Washington 7th,WA-07,Democratic,Pramila,Jayapal,(pruh-MILL-uh JAHY-uh-pahl),/pɹə.'mɪ.lə 'dʒaɪ.ə.pɑl/,2016,1965,Woman,Asian - Indian,Hindu,No,Open - Retired,100,0,81,19,82.1,12.2,D+,36,79.2,18.1,D+,29,81.7,18.3,D+,28,74.9,4,6.3,10.9,0.7,3.2,59.4,7,63.4,16,"$80,119.00",42,100,0,81,19,79.7,20.3,420,,,,,251875,203954,47921,0,298368,76212,415693,341412,50615,392419,310828,70973,370518,302597,67921,36,29.4,28,673562,488552,29478,49261,72209,4548,29514,565602,423906,22598,35502,61413,3893,18290
Washington 8th,WA-08,Republican,Dave,Reichert,(DAVE RAHY-kert),/deɪv 'ɹaɪ.kəɹt/,2004,1950,Man,White - Non-Hispanic,Lutheran,No,Re-elected,39.8,60.2,36.7,63.3,47.7,44.7,D+,1,49.7,48.1,R+,1,52.4,47.6,R+,1,79.5,2.2,7.7,7.3,0.9,2.4,33.3,138,33.6,199,"$77,320.00",54,39.8,60.2,36.7,63.3,40.3,59.7,421,,,,,198744,73003,125741,0,121886,180204,321002,153167,143403,313967,155982,151069,295246,154691,140555,0.5,-1.2,-1.3,674421,511676,15920,65188,50319,6628,24690,498830,396359,10883,38575,36389,4716,11908
Washington 9th,WA-09,Democratic,Adam,Smith,(ADD-duhm SMITH),/'æ.ɾəm smɪθ/,1996,1965,Man,White - Non-Hispanic,Christian,No,Re-elected,72.9,27.1,70.8,29.2,70.5,23.3,D+,24,68.3,29.6,D+,18,69.6,30.4,D+,16,53.7,10.2,9.8,22.5,0.6,3.2,41.3,63,47.2,71,"$71,947.00",74,72.9,27.1,70.8,29.2,71.6,28.4,422,,,,,166794,118132,48662,0,192034,76105,291192,205193,67956,286875,195863,84828,268973,187240,81733,24,17.8,15.9,670469,333051,72988,78997,149634,4040,31759,517163,277745,52678,50795,116119,3192,16634
Washington 10th,WA-10,Democratic,Denny,Heck,(DEH-nee HECK),/'dɛ.ni hɛk/,2012,1952,Man,White - Non-Hispanic,Lutheran,No,Re-elected,58.7,41.3,54.7,45.3,51.3,39.9,D+,5,56.3,41.1,D+,6,58.2,41.8,D+,5,73.8,5.5,7.7,8.1,1.2,3.7,26.3,256,28.7,283,"$56,564.00",191,58.7,41.3,54.7,45.3,58.6,41.4,423,,,,,181492,99279,82213,0,163036,115381,295356,151373,117861,292060,164505,120066,280953,163623,117330,5.1,5.8,4.6,670187,467018,38279,65775,52709,8249,38157,503586,371678,27897,38696,40582,6024,18709
West Virginia 1st,WV-01,Republican,David,McKinley,(DAY-vid mick-KIN-lee),/'deɪ.vɪd mɪ.'kɪn.li/,2010,1947,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,31,69,36.1,63.9,26.4,68,R+,23,35.5,62.2,R+,16,42.3,57.7,R+,11,95.6,1.7,0.9,0.8,0.2,0.9,22.5,329,22.2,391,"$44,180.00",361,31,69,36.1,63.9,37.5,62.5,424,,,,,143685,51842,91843,0,80342,133809,243894,64384,165934,227948,81017,141736,243247,102826,140421,-23.2,-15.6,-11.4,619988,588766,10835,5981,5205,1051,8150,494743,472882,8371,4206,4185,865,4234
